Country,Month,Slope,R2,p
AA,1,-0.003810872409969096,0.000144826916166488,0.9452974994856923
AA,2,-0.0012701238583710508,7.191133063269905e-05,0.9614393142119939
AA,3,-0.027554055810661403,0.009562327021071777,0.5762650138964012
AA,4,-0.011768324221886142,0.004019267092603643,0.7174949711599262
AA,5,0.012341759993092208,0.03528446667144892,0.2874046320928439
AA,6,-0.14530028110605914,0.042523595312508086,0.24197374628128251
AA,7,-0.023451313972846496,0.005856662176104183,0.6670671523810812
AA,8,-0.09295138499018836,0.05684088354266657,0.17451049300754432
AA,9,-0.06722139514753521,0.013361996787138309,0.5150464168132634
AA,10,0.03397236964029573,0.022734118623749112,0.387269716137687
AA,11,0.012762302691270553,0.0020078629306597025,0.7982632237086749
AA,12,0.01771962246714156,0.005028717327059588,0.6856217828294292
AC,1,0.023354212531671453,0.0503283663963541,0.09341278887328805
AC,2,0.007485838764316557,0.0036030456156734714,0.6573738204179457
AC,3,0.015006563820431357,0.061662117870362666,0.06498593707783985
AC,4,0.022149470141014847,0.032231210613569046,0.18145671397792185
AC,5,0.04939402900502197,0.11753668298245006,0.0059489147768795325
AC,6,0.006544514134705104,0.00020887019004499956,0.91272810778657
AC,7,0.05485776720566402,0.08239554958090033,0.030393465358124754
AC,8,0.05978744694782471,0.11186940116309765,0.01099239569724979
AC,9,0.03226214089004139,0.015323257626958794,0.35456032451748154
AC,10,0.03583919228538404,0.012187925349103658,0.41794191628663324
AC,11,0.054936410523747294,0.10583341214529168,0.014424258234789558
AC,12,0.013741361587696519,0.0028470239602874006,0.6988326821280808
AE,1,0.006874488093355252,0.07334726161796452,0.036351269820901755
AE,2,-0.0011893785767169217,0.0006427057005758056,0.8462248045785432
AE,3,0.004531992455562295,0.010625255098902461,0.4214407077339495
AE,4,0.0027008585978246426,0.0852324736029532,0.020250425836008182
AE,5,0.0007680316119857172,0.00424045685774953,0.6121176949778601
AE,6,0.0017567886566510905,0.06185777960440899,0.04750806520788051
AE,7,0.0011324578398899804,0.054376660759284524,0.07051289651495685
AE,8,0.0013590355270469865,0.020808609424179492,0.2633161413384934
AE,9,0.001648517002556608,0.030379139808312382,0.1718721788097784
AE,10,0.0010123746690369917,0.06428401820821425,0.04865379303963739
AE,11,0.0017036249716452648,0.03820233068803142,0.1311541554618854
AE,12,-0.00562556761023098,0.02209905550130342,0.252872823096598
AF,1,0.025979488485596055,0.009525722830743181,0.5092888259855697
AF,2,0.0336179761331298,0.0796020160462402,0.052033263171716575
AF,3,0.0471371528563279,0.2188986528286563,0.0007988035045486156
AF,4,0.03781475767269663,0.22983340637802713,0.0005656324116329363
AF,5,0.027146832525458277,0.05115902378298421,0.11423223918408565
AF,6,0.0025336395946882577,0.0006302414889428937,0.8640487371711323
AF,7,0.005337681489312917,0.2721938886283102,0.0001430643918876099
AF,8,0.011111415611120933,0.008409278141121364,0.5221729765340378
AF,9,0.009162867289963756,0.00563882743376128,0.6159120233228388
AF,10,0.0108149144334281,0.18014404671392387,0.002126592151477948
AF,11,0.03252091300676889,0.0777536436313021,0.05495677966289483
AF,12,0.0251537163390006,0.0702221537978176,0.0657497799542483
AG,1,0.01924707661430863,0.3658857061713231,1.918649881524015e-07
AG,2,0.018278057147049612,0.2691441053105799,1.8412887859674865e-05
AG,3,0.017088237705861098,0.38310529587107783,1.0554269841899128e-07
AG,4,0.01627041017273859,0.400294993157415,4.493112319726949e-08
AG,5,0.011618173682359801,0.26637743597834995,2.067969209790892e-05
AG,6,0.004608396433945288,0.19967789960707247,0.000306067798657467
AG,7,0.0019363470844577905,0.08411698446752296,0.023371122493777402
AG,8,0.005489901786367077,0.325300799467864,1.59796404213722e-06
AG,9,0.012353654457123983,0.4043675147875639,3.6577243876699415e-08
AG,10,0.014292276910686954,0.2954360596204447,4.989481098069419e-06
AG,11,0.023216699653041042,0.5552737608827506,2.4929262672416043e-12
AG,12,0.01937282729900213,0.4425312572198441,2.7286580867503613e-09
AJ,1,0.012993993819397863,0.02720127929518461,0.15735211898130955
AJ,2,0.02497732610348426,0.07477963771008253,0.01760205357593836
AJ,3,0.02031142181699708,0.05035346318448688,0.051325851104706874
AJ,4,0.021411306611028958,0.043622170144777095,0.06831608558223903
AJ,5,0.016298369880152652,0.045324355108359936,0.06303219916202092
AJ,6,0.010352918257455396,0.01854308382892905,0.23765090192477825
AJ,7,0.014746769427020294,0.05136531588001553,0.050546386032869414
AJ,8,0.008673497680951542,0.01989023227748196,0.2242887519396339
AJ,9,0.015335106415032107,0.037778480853412164,0.09248061646475299
AJ,10,0.01105290551462811,0.014818437541337399,0.2948505524266696
AJ,11,0.014415005416651232,0.0505310018901942,0.05090635675309106
AJ,12,0.024102734008951188,0.07458868558755408,0.0169854181612853
AL,1,-0.003707673402513368,0.0004394944823689555,0.9019832706517604
AL,2,0.013555892236228042,0.009824617112165764,0.5482788682628519
AL,3,-0.009996943916930177,0.005600893320006085,0.6506927982637709
AL,4,-0.004752309544595818,0.0014833114739288638,0.8110507648877732
AL,5,0.025856647002357347,0.08918158153035859,0.04894521356950025
AL,6,0.012978196579246228,0.05585237390035822,0.1180579312130485
AL,7,-0.0029241657507328646,0.0031938685172115525,0.7188793561940532
AL,8,-0.011909874657191113,0.07553128499922736,0.07448955091268694
AL,9,0.020122017432037013,0.04923994345542125,0.16320544467537776
AL,10,-0.01186919319871266,0.00793958251020378,0.5845403029860099
AL,11,-0.017579798726215685,0.0060851125001619225,0.6369089612336143
AL,12,0.016222099580885607,0.00921077627441198,0.5665236675605756
AM,1,0.009977404010509082,0.024836378664590337,0.2416814661877354
AM,2,-0.024018040581281347,0.025334490449147404,0.23270234217046074
AM,3,0.010865974881904937,0.015933397187390168,0.345078943571115
AM,4,-0.0034342662593158184,0.0010575528732382669,0.8068349047532865
AM,5,-0.008333481220946883,0.010034359965581836,0.45436225413129794
AM,6,0.003143777482048226,0.002282398842038352,0.7217487822070936
AM,7,-0.018093563894052967,0.015941548163906957,0.35379682043247596
AM,8,0.007567112894950011,0.026383454285492963,0.22314431632654932
AM,9,-0.0174896017600176,0.043168537525452785,0.10810794944735783
AM,10,-0.004149124719965175,0.0020308017662131177,0.7279956077021067
AM,11,0.007010263363146287,0.01745120814211894,0.31858421617020877
AM,12,0.00910678216967173,0.03551265323640784,0.15658124945295634
AO,1,-0.029373319245256026,0.10535922781692554,0.04100338206150402
AO,2,-0.02638750845510545,0.1360062652363804,0.020873580934498266
AO,3,-0.04472211044643924,0.28802866884857087,0.000356896639951753
AO,4,-0.02850986069815888,0.16194346151142486,0.006134777366205289
AO,5,-0.008389235595099504,0.21704567818551523,0.0014371640230423546
AO,6,-0.001132645638486139,0.17183537391469866,0.006345275046945398
AO,7,-0.0004798705546339707,0.014600884160596477,0.43461574280711757
AO,8,-0.0010363482853938762,0.03877159448525917,0.2001570688783048
AO,9,-0.008476954683757903,0.36734672962091947,1.0230191308386913e-05
AO,10,-0.019480724557915864,0.3386309419685022,4.257862429253103e-05
AO,11,-0.052049720273898155,0.2659586356687621,0.0006596500123871625
AO,12,-0.029261705667504218,0.22038406942512917,0.0025697602958751984
AQ,1,0.09339293106826904,0.03760779723416374,0.1521084693023494
AQ,2,0.1552788450367826,0.1439354210171728,0.003930222872146531
