Country,Year,Season,MAX_T_AVG,MEAN_T_AVG,MIN_T_AVG
AA,1942,WINTER,29.258064516129043,27.774193548387093,25.754838709677422
AA,1943,SUMMER,31.15108695652177,28.0945652173913,26.229347826086954
AA,1943,WINTER,29.16444444444441,26.626666666666658,24.67999999999999
AA,1944,WINTER,29.066666666666656,26.423333333333332,24.596666666666668
AA,1973,SUMMER,31.042857142857144,28.83857142857143,26.9
AA,1973,WINTER,29.041095890410958,26.708219178082185,24.65277777777778
AA,1974,SUMMER,30.790697674418606,28.14186046511627,26.011627906976745
AA,1974,WINTER,28.711111111111112,26.381111111111103,24.288888888888888
AA,1975,SUMMER,32.24691358024691,29.942682926829264,27.925925925925927
AA,1975,WINTER,28.821428571428573,26.710714285714282,24.88095238095238
AA,1976,SUMMER,31.211111111111112,28.183333333333334,25.977777777777778
AA,1976,WINTER,29.179775280898877,26.28426966292135,23.910112359550563
AA,1977,SUMMER,31.730337078651687,28.582022471910125,26.247191011235955
AA,1977,WINTER,30.370786516853933,27.405617977528077,25.269662921348313
AA,1978,SUMMER,31.16867469879518,28.27710843373494,26.313253012048193
AA,1978,WINTER,29.855555555555554,26.836666666666673,24.644444444444446
AA,1979,SUMMER,31.87912087912088,28.935164835164834,26.560439560439562
AA,1979,WINTER,29.822222222222223,27.1,25.06741573033708
AA,1980,SUMMER,32.03333333333333,29.181111111111115,26.92222222222222
AA,1980,WINTER,29.675675675675677,27.226666666666667,25.10810810810811
AA,1981,SUMMER,31.714285714285715,28.984615384615374,26.384615384615383
AA,1981,WINTER,30.355555555555554,27.94444444444444,25.711111111111112
AA,1982,SUMMER,32.007608695652195,28.678260869565225,25.87499999999999
AA,1982,WINTER,30.082222222222235,27.094444444444438,24.279999999999998
AA,1983,SUMMER,30.93888888888889,28.68222222222223,26.694444444444443
AA,1983,WINTER,30.383333333333344,27.288888888888874,24.69555555555557
AA,1984,SUMMER,30.72717391304348,28.24999999999999,26.163043478260864
AA,1984,WINTER,30.07045454545454,26.87840909090909,24.25795454545455
AA,1985,SUMMER,32.21521739130434,28.275000000000002,25.6141304347826
AA,1985,WINTER,29.31910112359549,25.98876404494382,23.11460674157303
AA,1986,SUMMER,32.32065217391305,28.423913043478255,25.727173913043476
AA,1986,WINTER,29.90909090909092,26.276136363636354,23.64886363636364
AA,1987,SUMMER,32.055056179775285,28.51235955056181,26.01235955056182
AA,1987,WINTER,30.65280898876405,27.139325842696636,24.569662921348318
AA,1988,SUMMER,32.90222222222222,28.91555555555556,25.58888888888889
AA,1988,WINTER,30.342222222222233,26.723333333333322,23.925555555555558
AA,1989,SUMMER,31.313043478260866,28.25543478260868,26.026086956521734
AA,1989,WINTER,30.238636363636363,26.780681818181815,24.175
AA,1990,SUMMER,31.666304347826088,28.494565217391294,26.059782608695663
AA,1990,WINTER,29.701111111111103,26.64888888888888,24.09111111111112
AA,1991,SUMMER,31.957142857142852,28.798571428571442,26.138571428571424
AA,1991,WINTER,29.594444444444445,26.63222222222223,23.87555555555557
AA,1992,SUMMER,31.82307692307692,28.589010989010994,25.85274725274726
AA,1992,WINTER,30.30879120879121,27.108791208791203,24.274725274725274
AA,1993,SUMMER,32.135999999999996,28.822666666666663,26.407999999999994
AA,1993,WINTER,30.155056179775272,27.050561797752792,24.593103448275862
AA,1994,SUMMER,31.61428571428571,28.44945054945055,26.11318681318681
AA,1994,WINTER,29.769411764705882,26.778823529411774,24.23058823529412
AA,1995,SUMMER,32.01395348837209,28.97441860465116,26.50348837209303
AA,1995,WINTER,30.455555555555556,27.251111111111115,24.75666666666667
AA,1996,SUMMER,32.02282608695651,28.67173913043478,26.15978260869565
AA,1996,WINTER,30.11978021978022,27.159340659340664,24.607692307692314
AA,1997,SUMMER,32.27701149425287,29.093103448275865,26.703448275862065
AA,1997,WINTER,30.48777777777777,27.43444444444445,25.00444444444444
AA,1998,SUMMER,33.173913043478265,30.1391304347826,27.692391304347826
AA,1998,WINTER,31.132222222222214,28.029999999999983,25.78666666666667
AA,1999,SUMMER,32.93804347826088,29.597826086956527,26.902173913043473
AA,1999,WINTER,29.814606741573034,26.989887640449428,24.405617977528085
AA,2000,SUMMER,32.621111111111105,29.225555555555562,26.566666666666666
AA,2000,WINTER,29.72087912087911,26.893406593406585,24.3879120879121
AA,2001,SUMMER,32.86413043478263,29.42499999999999,26.926086956521747
AA,2001,WINTER,30.754444444444424,27.583333333333343,25.143333333333338
AA,2002,SUMMER,32.74130434782608,29.35760869565218,27.088043478260875
AA,2002,WINTER,30.971111111111103,27.757777777777775,25.443333333333328
AA,2003,SUMMER,32.346739130434784,29.193478260869576,26.791304347826078
AA,2003,WINTER,30.80222222222221,27.766666666666676,25.46888888888889
AA,2004,SUMMER,32.62826086956523,29.17499999999999,26.84239130434782
AA,2004,WINTER,30.647252747252747,27.44065934065936,24.75384615384616
AA,2008,SUMMER,32.96739130434783,29.280434782608683,26.648913043478263
AA,2008,WINTER,30.845054945054937,27.2021978021978,24.454945054945057
AC,1941,WINTER,28.764516129032263,26.85806451612904,25.0741935483871
AC,1942,SUMMER,29.127472527472495,27.779347826086955,26.28681318681317
AC,1942,WINTER,27.369767441860468,25.70000000000001,24.17441860465115
AC,1943,SUMMER,28.95652173913042,27.148913043478252,25.484782608695646
AC,1943,WINTER,27.147777777777794,25.334444444444465,23.59777777777776
AC,1944,SUMMER,29.523913043478224,27.63369565217392,25.91304347826086
AC,1944,WINTER,27.128571428571448,25.24285714285715,23.4065934065934
AC,1945,SUMMER,29.64456521739126,27.708695652173915,26.148913043478263
AC,1945,WINTER,27.238888888888887,25.30666666666668,23.65222222222222
AC,1946,SUMMER,29.63666666666665,27.739999999999988,26.131111111111103
AC,1946,WINTER,27.264044943820245,25.30674157303372,23.835955056179767
AC,1947,SUMMER,30.232608695652136,28.005434782608706,26.10434782608696
AC,1947,WINTER,28.101111111111116,25.755555555555567,23.9011111111111
AC,1948,SUMMER,30.571739130434793,28.220652173913034,26.179347826086946
AC,1948,WINTER,28.102197802197804,25.67692307692308,23.59010989010988
AC,1949,SUMMER,29.782666666666653,28.31333333333333,26.097333333333328
AC,1949,WINTER,27.011864406779655,24.58983050847458,22.410169491525412
AC,1958,SUMMER,28.7,25.633333333333336,23.133333333333336
AC,1960,SUMMER,28.9,26.6,23.9
AC,1961,SUMMER,28.7,26.400000000000002,24.433333333333334
AC,1962,SUMMER,28.13333333333333,25.977777777777774,23.76666666666667
AC,1963,SUMMER,27.500000000000004,26.049999999999997,24.025
AC,1964,SUMMER,25.6,25.0,24.4
AC,1965,SUMMER,27.2,25.65,23.85
AC,1966,SUMMER,27.966666666666665,26.133333333333336,24.266666666666666
AC,1968,SUMMER,26.7,26.2,25.0
AC,1969,SUMMER,27.066666666666666,25.733333333333334,23.733333333333334
AC,1973,SUMMER,30.9375,28.433749999999996,25.9875
AC,1973,WINTER,27.77777777777778,25.434722222222224,23.069444444444443
AC,1974,SUMMER,30.866666666666667,27.73111111111111,25.133333333333333
AC,1974,WINTER,27.6625,24.716250000000006,22.1875
AC,1975,SUMMER,31.108695652173914,27.81413043478261,24.967391304347824
AC,1975,WINTER,27.707865168539325,24.59887640449438,21.797752808988765
AC,1976,SUMMER,30.641304347826086,27.464130434782607,24.532608695652176
AC,1976,WINTER,27.527027027027028,24.291891891891893,20.945945945945947
AC,1977,SUMMER,31.23076923076923,27.930769230769222,24.747252747252748
AC,1977,WINTER,29.029411764705884,25.479411764705876,22.441176470588236
AC,1978,SUMMER,30.597826086956523,27.71739130434783,24.67391304347826
AC,1978,WINTER,28.78481012658228,25.472151898734175,22.075949367088608
AC,1979,SUMMER,30.57608695652174,28.022826086956524,25.282608695652176
AC,1979,WINTER,28.544444444444444,25.246666666666655,21.788888888888888
AC,1980,SUMMER,31.369565217391305,28.3771739130435,24.652173913043477
AC,1980,WINTER,28.593406593406595,25.38571428571429,21.835164835164836
AC,1981,SUMMER,31.042857142857144,28.17571428571429,24.685714285714287
AC,1981,WINTER,29.266666666666666,25.773333333333333,22.455555555555556
AC,1982,SUMMER,31.080459770114942,27.979310344827596,24.918390804597713
AC,1982,WINTER,28.04157303370787,25.097752808988766,22.20898876404494
AC,1983,SUMMER,31.450549450549445,28.24615384615384,25.125274725274718
AC,1983,WINTER,28.884444444444455,25.462222222222216,22.26111111111112
AC,1984,SUMMER,30.876086956521725,27.761956521739126,25.083695652173905
AC,1984,WINTER,28.39886363636364,25.218181818181822,22.18068181818181
AC,1985,SUMMER,31.013483146067397,28.037078651685395,24.951685393258426
AC,1985,WINTER,28.333707865168538,25.230337078651676,21.841573033707864
AC,1986,SUMMER,30.686915887850457,27.944859813084108,25.341121495327094
AC,1986,WINTER,28.39791666666667,25.446875000000006,22.725000000000005
AC,1987,SUMMER,30.305555555555557,28.34375,26.36111111111111
AC,1987,WINTER,29.0364705882353,25.704705882352943,22.820588235294117
AC,1988,SUMMER,30.94371584699454,28.31639344262295,25.361748633879774
AC,1988,WINTER,28.33333333333334,25.600649350649356,22.950000000000003
AC,1989,SUMMER,31.19545454545455,28.087662337662337,25.331818181818186
AC,1989,WINTER,28.19428571428572,25.170476190476187,22.532380952380958
AC,1990,SUMMER,31.601162790697668,28.397674418604648,24.394186046511628
AC,1990,WINTER,28.611250000000002,25.516250000000003,21.04874999999999
AC,1991,SUMMER,31.006896551724132,28.267816091954025,24.90344827586207
AC,1991,WINTER,28.55168539325843,25.402247191011234,21.679775280898873
AC,1992,SUMMER,31.10439560439561,28.172527472527467,25.207692307692312
AC,1992,WINTER,29.144943820224725,25.516853932584276,21.68651685393258
AC,1993,SUMMER,31.118478260869573,28.12499999999999,25.326086956521745
AC,1993,WINTER,28.536666666666672,25.437777777777782,22.217777777777783
AC,1994,SUMMER,31.07582417582418,28.09120879120878,25.260439560439572
AC,1994,WINTER,28.463333333333345,25.71222222222222,22.5188888888889
AC,1995,SUMMER,32.08888888888888,28.866666666666656,25.44222222222222
AC,1995,WINTER,29.274576271186454,25.613559322033904,22.047457627118643
AC,1996,SUMMER,31.01195652173912,28.033695652173908,24.62826086956522
AC,1996,WINTER,28.824137931034485,25.903448275862075,22.424137931034473
AC,1997,SUMMER,31.898913043478252,28.798913043478265,25.3054347826087
AC,1997,WINTER,29.32111111111111,26.323333333333338,23.00666666666666
AC,1998,SUMMER,32.1876404494382,29.140449438202243,25.475280898876402
AC,1998,WINTER,29.535802469135803,26.430864197530866,22.602469135802473
AC,1999,SUMMER,31.05760869565217,28.38695652173912,25.239130434782588
AC,1999,WINTER,28.342105263157894,25.45,22.85
AC,2000,SUMMER,30.763636363636365,28.077272727272728,25.2625
AC,2000,WINTER,28.22417582417583,25.509890109890105,22.498901098901108
AC,2001,SUMMER,30.959782608695644,28.34239130434782,25.860869565217378
AC,2001,WINTER,28.71888888888889,25.945555555555554,22.963333333333335
AC,2002,SUMMER,30.6586956521739,28.1913043478261,25.47608695652174
AC,2002,WINTER,28.731111111111108,26.01555555555556,23.389999999999993
AC,2003,SUMMER,30.551086956521736,27.968478260869563,25.507608695652177
AC,2003,WINTER,28.67977528089887,25.792134831460658,22.960674157303377
AC,2004,SUMMER,30.655172413793093,27.874712643678166,24.985057471264373
AC,2004,WINTER,28.35555555555555,25.315555555555555,22.417777777777776
AC,2005,SUMMER,31.02173913043478,28.188043478260873,24.9304347826087
AC,2005,WINTER,28.2,25.143333333333345,22.365555555555556
AC,2006,SUMMER,30.906521739130426,28.106521739130443,24.977173913043483
AC,2006,WINTER,28.455555555555566,25.5,22.77777777777777
AC,2007,SUMMER,31.288043478260864,28.19347826086957,25.338043478260865
AC,2007,WINTER,28.769999999999992,25.61333333333333,22.525555555555563
AC,2008,SUMMER,31.181521739130428,28.06956521739131,25.275000000000002
AC,2008,WINTER,28.093406593406584,25.063736263736267,22.04835164835165
AC,2009,SUMMER,30.561956521739123,27.918478260869556,24.863043478260874
AC,2009,WINTER,28.334444444444443,25.470000000000002,22.489999999999995
AC,2010,SUMMER,31.334444444444443,28.26888888888889,24.794444444444455
AC,2010,WINTER,29.292222222222218,25.605555555555554,22.286666666666655
AC,2011,SUMMER,30.492391304347827,27.768478260869568,24.52173913043478
AC,2011,WINTER,28.323863636363647,25.287499999999998,22.703409090909098
AC,2012,SUMMER,30.833695652173912,27.983695652173925,25.178260869565225
AC,2012,WINTER,28.426666666666684,25.482222222222212,22.592222222222233
AC,2013,SUMMER,30.382608695652173,27.784782608695654,24.961956521739125
AC,2013,WINTER,28.356666666666666,25.53666666666667,22.68666666666666
AC,2014,SUMMER,30.570652173913057,27.748913043478257,24.84130434782608
AC,2014,WINTER,28.14555555555554,25.42,22.823333333333323
AC,2015,SUMMER,30.857608695652186,27.92717391304348,25.32717391304349
AC,2015,WINTER,28.65617977528089,25.810112359550565,23.062068965517252
AC,2016,SUMMER,30.929347826086943,28.120652173913044,25.256521739130445
AC,2016,WINTER,28.66373626373626,25.772527472527475,22.96593406593406
AC,2017,SUMMER,30.716304347826078,28.10434782608695,25.28369565217391
AC,2017,WINTER,28.523333333333333,25.44444444444446,22.47888888888889
AC,2018,SUMMER,30.72391304347827,27.805434782608696,25.333695652173922
AC,2018,WINTER,27.76778523489934,25.20268456375839,22.75570469798658
AC,2019,SUMMER,29.943169398907106,27.66557377049181,25.412021857923495
AC,2019,WINTER,27.77166666666668,25.175000000000004,22.684444444444445
AC,2020,SUMMER,30.356906077348068,27.987845303867406,25.64972375690608
AC,2020,WINTER,27.69395604395604,25.0554945054945,22.59945054945055
AC,2021,SUMMER,29.909239130434777,27.552717391304352,25.34565217391305
AC,2021,WINTER,27.905780346820812,25.335260115606943,22.96300578034682
AE,1944,SUMMER,39.42608695652175,32.911956521739135,27.24347826086955
AE,1944,WINTER,24.67096774193548,19.53870967741935,14.780645161290321
AE,1945,SUMMER,38.3358695652174,32.13586956521739,25.990217391304352
AE,1945,WINTER,23.322033898305083,17.916949152542372,11.698305084745765
AE,1955,SUMMER,38.20108695652172,33.331521739130444,26.72608695652174
AE,1955,WINTER,24.362222222222222,20.38,14.227777777777778
AE,1956,SUMMER,38.473913043478255,33.584782608695654,27.32989130434782
AE,1956,WINTER,24.82087912087912,20.234065934065942,13.030769230769227
AE,1957,SUMMER,37.59673913043478,32.93369565217391,25.595108695652183
AE,1957,WINTER,23.807777777777776,20.113333333333333,14.483333333333329
AE,1958,SUMMER,38.0673913043478,32.917391304347824,26.601630434782614
AE,1958,WINTER,23.939999999999994,19.69666666666667,14.304999999999998
AE,1959,SUMMER,37.019565217391296,32.616304347826095,27.776630434782607
AE,1959,WINTER,22.97738095238096,18.54761904761905,12.928571428571429
AE,1960,SUMMER,37.67717391304346,32.638043478260876,27.08152173913043
AE,1960,WINTER,25.12472527472528,20.04065934065934,13.842857142857142
AE,1961,SUMMER,37.59666666666667,31.099999999999998,23.658333333333328
AE,1961,WINTER,24.084745762711872,19.608474576271185,14.261016949152545
AE,1963,SUMMER,36.412000000000006,32.95866666666666,27.338666666666676
AE,1963,WINTER,23.961403508771934,20.166666666666668,13.922807017543857
AE,1964,SUMMER,36.649090909090894,33.116363636363644,27.645454545454555
AE,1964,WINTER,21.528378378378385,18.04266666666667,12.812000000000005
AE,1965,SUMMER,36.16666666666667,32.24102564102565,26.769230769230763
AE,1965,WINTER,23.995238095238093,20.195238095238096,15.02857142857143
AE,1966,SUMMER,37.098765432098766,32.80123456790124,27.195061728395064
AE,1966,WINTER,24.42833333333333,20.333333333333332,14.225
